City,2016_Pop,2017_Pop,Pop_Change,Percent_Change,State
"Hialeah, Florida",238098,239673,1575,0.7,Florida
"Pleasanton, California",82467,83007,540,0.7,California
"Weston, Florida",70484,70944,460,0.7,Florida
"McAllen, Texas",141776,142696,920,0.6,Texas
"Yuba City, California",66429,66860,431,0.6,California
"Indianapolis (balance), Indiana",857453,863002,5549,0.6,Indiana
"Warner Robins, Georgia",74377,74854,477,0.6,Georgia
"Champaign, Illinois",86877,87432,555,0.6,Illinois
"Yucaipa, California",53343,53683,340,0.6,California
"Walnut Creek, California",69332,69773,441,0.6,California
"Pinellas Park, Florida",52520,52854,334,0.6,Florida
"Edmond, Oklahoma",91370,91950,580,0.6,Oklahoma
"Ann Arbor, Michigan",120713,121477,764,0.6,Michigan
"Citrus Heights, California",87380,87931,551,0.6,California
"Amarillo, Texas",198576,199826,1250,0.6,Texas
"Lafayette, Indiana",71941,72390,449,0.6,Indiana
